# x,y  (from matlab_pure_pursuit/path1.mat)
0.000000,0.000000
0.055300,0.000000
0.110599,0.000000
0.156682,-0.011679
0.202765,-0.011679
0.248848,-0.011679
0.285714,-0.011679
0.331797,-0.011679
0.359447,-0.011679
0.396313,-0.011679
0.423963,-0.023358
0.442396,-0.023358
0.460829,-0.023358
0.497696,-0.023358
0.525346,-0.023358
0.543779,-0.023358
0.562212,-0.023358
0.599078,-0.023358
0.626728,-0.023358
0.654378,-0.023358
0.691244,-0.023358
0.728111,-0.023358
0.764977,-0.023358
0.801843,-0.023358
0.829493,-0.023358
0.866359,-0.023358
0.903226,-0.023358
0.949309,-0.035036
0.976959,-0.046715
1.004608,-0.058394
1.041475,-0.070073
1.069124,-0.093431
1.115207,-0.116788
1.142857,-0.151825
1.179724,-0.186861
1.216590,-0.221898
1.235023,-0.256934
1.262673,-0.291971
1.290323,-0.350365
1.317972,-0.385401
1.336406,-0.420438
1.354839,-0.455474
1.373272,-0.490511
1.382488,-0.548905
1.410138,-0.630657
1.419355,-0.677372
1.428571,-0.724088
1.437788,-0.782482
1.447005,-0.875912
1.447005,-0.922628
1.447005,-0.981022
1.447005,-1.039416
1.447005,-1.097810
1.428571,-1.156204
1.410138,-1.202920
1.391705,-1.261314
1.364055,-1.308029
1.345622,-1.343066
1.299539,-1.378102
1.262673,-1.389781
1.207373,-1.413139
1.152074,-1.436496
1.078341,-1.448175
1.013825,-1.459854
0.903226,-1.483212
0.811060,-1.483212
0.728111,-1.494891
0.645161,-1.494891
0.580645,-1.494891
0.506912,-1.494891
0.442396,-1.494891
0.368664,-1.494891
0.322581,-1.494891
0.276498,-1.494891
0.230415,-1.494891
0.184332,-1.494891
0.129032,-1.483212
0.046083,-1.471533
-0.018433,-1.459854
-0.073733,-1.448175
-0.119816,-1.436496
-0.184332,-1.424818
-0.221198,-1.424818
-0.267281,-1.413139
-0.294931,-1.401460
-0.331797,-1.401460
-0.377880,-1.378102
-0.442396,-1.366423
-0.516129,-1.331387
-0.571429,-1.308029
-0.635945,-1.284672
-0.691244,-1.261314
-0.737327,-1.226277
-0.774194,-1.202920
-0.829493,-1.156204
-0.875576,-1.121168
-0.903226,-1.109489
-0.912442,-1.097810
-0.912442,-1.086131
-0.930876,-1.051095
-0.949309,-1.004380
-0.958525,-0.969343
-0.995392,-0.829197
-1.032258,-0.724088
-1.050691,-0.618978
-1.069124,-0.537226
-1.078341,-0.362044
-1.087558,-0.233577
-1.096774,-0.116788
-1.096774,0.023358
-1.096774,0.186861
-1.096774,0.291971
-1.087558,0.385401
-1.069124,0.467153
-1.050691,0.560584
-1.041475,0.630657
-1.013825,0.724088
-0.986175,0.794161
-0.967742,0.864234
-0.949309,0.922628
-0.921659,0.992701
-0.903226,1.051095
-0.884793,1.121168
-0.866359,1.179562
-0.857143,1.226277
-0.847926,1.272993
-0.838710,1.343066
-0.838710,1.389781
-0.838710,1.436496
-0.838710,1.494891
-0.838710,1.518248
-0.847926,1.541606
-0.875576,1.576642
-0.894009,1.600000
-0.930876,1.623358
-0.958525,1.646715
-0.976959,1.658394
-1.004608,1.681752
-1.023041,1.681752
-1.041475,1.693431
-1.069124,1.705109
-1.096774,1.716788
