# x,y  (from matlab_pure_pursuit/path3.mat)
0.000000,0.000000
0.046083,0.000000
0.082949,0.000000
0.230415,0.000000
0.350230,0.000000
0.470046,0.000000
0.543779,0.000000
0.626728,0.000000
0.709677,-0.011679
0.755760,-0.011679
0.801843,-0.023358
0.847926,-0.023358
0.903226,-0.035036
0.949309,-0.035036
1.004608,-0.035036
1.050691,-0.035036
1.087558,-0.035036
1.105991,-0.035036
1.115207,-0.046715
1.115207,-0.105109
1.124424,-0.163504
1.142857,-0.362044
1.170507,-0.595620
1.198157,-0.794161
1.216590,-0.945985
1.235023,-1.109489
1.244240,-1.226277
1.253456,-1.308029
1.262673,-1.378102
1.271889,-1.424818
1.271889,-1.436496
1.271889,-1.448175
1.271889,-1.459854
1.271889,-1.471533
1.262673,-1.483212
1.170507,-1.483212
1.032258,-1.506569
0.857143,-1.529927
0.792627,-1.529927
0.589862,-1.529927
0.276498,-1.494891
-0.018433,-1.471533
-0.267281,-1.471533
-0.534562,-1.471533
-0.663594,-1.471533
-0.746544,-1.471533
-0.829493,-1.483212
-0.894009,-1.483212
-0.949309,-1.494891
-0.986175,-1.494891
-1.013825,-1.494891
-1.041475,-1.494891
-1.059908,-1.494891
-1.078341,-1.494891
-1.115207,-1.494891
-1.115207,-1.506569
-1.115207,-1.448175
-1.115207,-1.424818
-1.115207,-1.226277
-1.105991,-0.957664
-1.069124,-0.572263
-1.059908,-0.280292
-1.050691,-0.035036
-1.050691,0.221898
-1.050691,0.513869
-1.050691,0.700730
-1.050691,0.805839
-1.050691,0.840876
-1.050691,0.852555
-1.142857,0.852555
-1.253456,0.864234
-1.364055,0.875912
-1.400922,0.875912
-1.493088,0.887591
-1.566820,0.887591
-1.612903,0.899270
-1.649770,0.899270
-1.649770,0.910949
-1.649770,0.945985
-1.658986,1.051095
-1.668203,1.109489
-1.695853,1.261314
-1.723502,1.413139
-1.732719,1.576642
-1.741935,1.705109
-1.751152,1.786861
